,Winners,Losers
358,Bryan Battle,Gabe Green
359,Tainara Lisboa,Jessica-Rose Clark
360,Aljamain Sterling,Henry Cejudo
361,Belal Muhammad,Gilbert Burns
362,Yan Xiaonan,Jessica Andrade
363,Movsar Evloev,Diego Lopes
364,Charles Jourdain,Kron Gracie
365,Matt Frevola,Drew Dober
366,Kennedy Nzechukwu,Devin Clark
367,Khaos Williams,Rolando Bedoya
368,Virna Jandiroba,Marina Rodriguez
369,Parker Porter,Braxton Smith
370,Ikram Aliskerov,Phil Hawes
371,Claudio Ribeiro,Joseph Holmes
372,Song Yadong,Ricky Simon
373,Caio Borralho,Michal Oleksiejczuk
374,Rodolfo Vieira,Cody Brundage
375,Fernando Padilla,Julian Erosa
376,Marcos Rogerio de Lima,Waldo Cortes-Acosta
377,Trey Waters,Josh Quinlan
378,Martin Buday,Jake Collier
379,Cody Durden,Charles Johnson
380,Irina Alekseeva,Stephanie Egger
381,Marcus McGhee,Journey Newson
382,Jamey-Lyn Horth,Hailey Cowan
383,Sergei Pavlovich,Curtis Blaydes
384,Bruno Silva,Brad Tavares
385,Bobby Green,Jared Gordon
386,Iasmin Lucindo,Brogan Walker
387,Jeremiah Wells,Matthew Semelsberger
388,Christos Giagos,Ricky Glenn
389,Montel Jackson,Rani Yahya
390,Norma Dumont,Karol Rosa
391,Mohammed Usman,Junior Tafa
392,William Gomis,Francis Marshall
393,Brady Hiestand,Batgerel Danaa
394,Max Holloway,Arnold Allen
395,Edson Barboza,Billy Quarantillo
396,Azamat Murzakanov,Dustin Jacoby
397,Ion Cutelaba,Tanner Boser
398,Pedro Munhoz,Chris Gutierrez
399,Rafa Garcia,Clay Guida
400,Bill Algeo,TJ Brown
401,Brandon Royval,Matheus Nicolau
402,Zak Cummings,Ed Herman
403,Gillian Robertson,Piera Rodriguez
404,Daniel Zellhuber,Lando Vannata
405,Denise Gomes,Bruna Brasil
406,Gaston Bolanos,Aaron Phillips
407,Joselyne Edwards,Lucie Pudilova
408,Israel Adesanya,Alex Pereira
409,Gilbert Burns,Jorge Masvidal
410,Rob Font,Adrian Yanez
411,Kevin Holland,Santiago Ponzinibbio
412,Christian Rodriguez,Raul Rosas Jr.
413,Kelvin Gastelum,Chris Curtis
414,Luana Pinheiro,Michelle Waterson-Gomez
415,Joe Pyfer,Gerald Meerschaert
416,Loopy Godinez,Cynthia Calvillo
417,Ignacio Bahamondes,Trey Ogden
418,Steve Garcia,Shayilan Nuerdanbieke
419,Sam Hughes,Jaqueline Amorim
420,Cory Sandhagen,Marlon Vera
421,Holly Holm,Yana Santos
422,Nate Landwehr,Austin Lingo
423,Maycee Barber,Andrea Lee
424,Albert Duraev,Chidi Njokuani
425,Daniel Pineda,Tucker Lutz
426,Lucas Alexander,Steven Peterson
427,Trevin Giles,Preston Parsons
428,CJ Vergara,Daniel Lacerda
429,Victor Altamirano,Vinicius Salvador
430,Leon Edwards,Kamaru Usman
431,Justin Gaethje,Rafael Fiziev
432,Gunnar Nelson,Bryan Barberena
433,Jennifer Maia,Casey O'Neill
434,Marvin Vettori,Roman Dolidze
435,Jack Shore,Makwan Amirkhani
436,Chris Duncan,Omar Morales
437,Yanal Ashmouz,Sam Patterson
438,Muhammad Mokaev,Jafel Filho
439,Lerone Murphy,Gabriel Santos
440,Christian Leroy Duncan,Dusko Todorovic
441,Jake Hadley,Malcolm Gordon
442,Joanne Wood,Luana Carolina
443,Jai Herbert,Ludovit Klein
444,Veronica Hardy,Juliana Miller
445,Merab Dvalishvili,Petr Yan
446,Alexander Volkov,Alexandr Romanov
447,Nikita Krylov,Ryan Spann
448,Jonathan Martinez,Said Nurmagomedov
449,Mario Bautista,Guido Cannetti
450,Vitor Petrino,Anton Turkalj
451,Karl Williams,Lukasz Brzeski
452,Davey Grant,Raphael Assuncao
453,Josh Fremd,Sedriques Dumas
454,Victor Henry,Tony Gravely
455,Ariane Lipski,JJ Aldrich
456,Bruno Silva,Tyson Nam
457,Carlston Harris,Jared Gooden
458,Jon Jones,Ciryl Gane
459,Alexa Grasso,Valentina Shevchenko
460,Shavkat Rakhmonov,Geoff Neal
461,Mateusz Gamrot,Jalin Turner
462,Bo Nickal,Jamie Pickett
463,Cody Garbrandt,Trevin Jones
464,Dricus Du Plessis,Derek Brunson
465,Amanda Ribas,Viviane Araujo
466,Marc-Andre Barriault,Julian Marquez
467,Ian Garry,Song Kenan
468,Cameron Saaiman,Mana Martinez
469,Tabatha Ricci,Jessica Penne
470,Farid Basharat,Da'Mon Blackshear
471,Loik Radzhabov,Esteban Ribovics
472,Brendan Allen,Andre Muniz
473,Augusto Sakai,Don'Tale Mayes
474,Tatiana Suarez,Montana De La Rosa
475,Mike Malott,Yohan Lainesse
476,Trevor Peek,Erick Gonzalez
477,Jasmine Jasudavicius,Gabriella Fernandes
478,Jordan Leavitt,Victor Martinez
479,Ode Osbourne,Charles Johnson
480,Joe Solecki,Carl Deaton
481,Nurullo Aliev,Rafael Alves
482,Erin Blanchfield,Jessica Andrade
483,Zac Pauga,Jordan Wright
484,Jamal Pogues,Josh Parisian
485,Marcin Prachnio,William Knight
486,Alexander Hernandez,Jim Miller
487,Nazim Sadykhov,Evan Elder
488,Mayra Bueno Silva,Lina Lansberg
489,Jamall Emmers,Khusein Askhabov
490,Philipe Lins,Ovince Saint Preux
491,AJ Fletcher,Themba Gorimbo
492,Clayton Carpenter,Juancamilo Ronderos
493,Islam Makhachev,Alexander Volkanovski
494,Yair Rodriguez,Josh Emmett
495,Jack Della Maddalena,Randy Brown
496,Justin Tafa,Parker Porter
497,Jimmy Crute,Alonzo Menifield
498,Modestas Bukauskas,Tyson Pedro
499,Josh Culibao,Melsik Baghdasaryan
500,Kleydson Rodrigues,Shannon Ross
501,Jamie Mullarkey,Francisco Prado
502,Jack Jenkins,Don Shainis
503,Loma Lookboonmee,Elise Reed
504,Blake Bilder,Shane Young
505,Elves Brener,Zubaira Tukhugov
506,Serghei Spivac,Derrick Lewis
507,Devin Clark,Da Woon Jung
508,Marcin Tybura,Blagoy Ivanov
509,Dooho Choi,Kyle Nelson
510,Adam Fugitt,Yusaku Kinoshita
511,Anshul Jubli,Jeka Saragih
512,JeongYeong Lee,Yizha
513,Rinya Nakamura,Toshiomi Kazama
514,HyunSung Park,SeungGuk Choi
515,JunYong Park,Denis Tiuliulin
516,Tatsuro Taira,Jesus Aguilar
517,Jamahal Hill,Glover Teixeira
518,Brandon Moreno,Deiveson Figueiredo
519,Gilbert Burns,Neil Magny
520,Jessica Andrade,Lauren Murphy
521,Johnny Walker,Paul Craig
522,Ihor Potieria,Mauricio Rua
523,Brunno Ferreira,Gregory Rodrigues
524,Thiago Moises,Melquizael Costa
525,Gabriel Bonfim,Mounir Lazzez
526,Jailton Almeida,Shamil Abdurakhimov
527,Cody Stamann,Luan Lacerda
528,Ismael Bonfim,Terrance McKinney
529,Nicolas Dalby,Warlley Alves
530,Josiane Nunes,Zarah Fairn
531,Daniel Marcos,Saimon Oliveira
532,Sean Strickland,Nassourdine Imavov
533,Dan Ige,Damon Jackson
534,Roman Kopylov,Punahele Soriano
535,Raquel Pennington,Ketlen Vieira
536,Umar Nurmagomedov,Raoni Barcelos
537,Javid Basharat,Mateus Mendonca
538,Abdul Razak Alhassan,Claudio Ribeiro
539,Mateusz Rebecki,Nick Fiore
540,Allan Nascimento,Carlos Hernandez
541,Dan Argueta,Nick Aguirre
542,Charles Johnson,Jimmy Flick
543,Jared Cannonier,Sean Strickland
544,Arman Tsarukyan,Damir Ismagulov
545,Amir Albazi,Alessandro Costa
546,Alex Caceres,Julian Erosa
547,Drew Dober,Bobby Green
548,Michal Oleksiejczuk,Cody Brundage
549,Cory McKenna,Cheyanne Vlismas
550,Matthew Semelsberger,Jake Matthews
551,Said Nurmagomedov,Saidyokub Kakhramonov
552,Rafa Garcia,Maheshate
553,Rinat Fakhretdinov,Bryan Battle
554,Manel Kape,David Dvorak
555,Sergey Morozov,Journey Newson
556,Jan Blachowicz,Magomed Ankalaev
557,Paddy Pimblett,Jared Gordon
558,Santiago Ponzinibbio,Alex Morono
559,Dricus Du Plessis,Darren Till
560,Ilia Topuria,Bryce Mitchell
561,Raul Rosas Jr.,Jay Perrin
562,Jairzinho Rozenstruik,Chris Daukaus
563,Edmen Shahbazyan,Dalcha Lungiambula
564,Chris Curtis,Joaquin Buckley
565,Billy Quarantillo,Alexander Hernandez
566,TJ Brown,Erik Silva
567,Cameron Saaiman,Steven Koslow
568,Stephen Thompson,Kevin Holland
569,Rafael Dos Anjos,Bryan Barberena
570,Matheus Nicolau,Matt Schnell
571,Sergei Pavlovich,Tai Tuivasa
572,Roman Dolidze,Jack Hermansson
573,Eryk Anders,Kyle Daukaus
574,Phil Rowe,Niko Price
575,Angela Hill,Emily Ducote
576,Clay Guida,Scott Holtzman
577,Michael Johnson,Marc Diakiese
578,Jonathan Pearce,Darren Elkins
579,Natan Levy,Genaro Valdez
580,Francis Marshall,Marcelo Rojo
581,Yazmin Jauregui,Istela Nunes
582,Kennedy Nzechukwu,Ion Cutelaba
583,Waldo Cortes-Acosta,Chase Sherman
584,Muslim Salikhov,Andre Fialho
585,Jack Della Maddalena,Danny Roberts
586,Charles Johnson,Zhalgas Zhumagulov
587,Jennifer Maia,Maryna Moroz
588,Miles Johns,Vince Morales
589,Ricky Turcios,Kevin Natividad
590,Vanessa Demopoulos,Maria Oliveira
591,Brady Hiestand,Fernie Garcia
592,Natalia Silva,Tereza Bleda
593,Alex Pereira,Israel Adesanya
594,Zhang Weili,Carla Esparza
595,Dustin Poirier,Michael Chandler
596,Chris Gutierrez,Frankie Edgar
597,Dan Hooker,Claudio Puelles
598,Renato Moicano,Brad Riddell
599,Ryan Spann,Dominick Reyes
600,Erin Blanchfield,Molly McCann
601,Andre Petroski,Wellington Turman
602,Matt Frevola,Ottman Azaitar
603,Karolina Kowalkiewicz,Silvana Gomez Juarez
604,Michael Trizano,SeungWoo Choi
605,Montel Jackson,Julio Arce
606,Carlos Ulberg,Nicolae Negumereanu
607,Amanda Lemos,Marina Rodriguez
608,Neil Magny,Daniel Rodriguez
609,Shayilan Nuerdanbieke,Darrick Minner
610,Tagir Ulanbekov,Nate Maness
611,Grant Dawson,Mark Madsen
612,Miranda Maverick,Shanna Young
613,Mario Bautista,Benito Lopez
614,Polyana Viana,Jinh Yu Frey
615,Johnny Munoz,Liudvik Sholinian
616,Jake Hadley,Carlos Candelario
617,Tamires Vidal,Ramona Pascual
618,Arnold Allen,Calvin Kattar
619,Max Griffin,Tim Means
620,Waldo Cortes-Acosta,Jared Vanderaa
621,Tresean Gore,Josh Fremd
622,Khalil Rountree Jr.,Dustin Jacoby
623,Roman Dolidze,Phil Hawes
624,Marcos Rogerio de Lima,Andrei Arlovski
625,JunYong Park,Joseph Holmes
626,Steve Garcia,Chase Hooper
627,Cody Durden,Carlos Mota
628,Christian Rodriguez,Joshua Weems
629,Islam Makhachev,Charles Oliveira
630,Aljamain Sterling,TJ Dillashaw
631,Sean O'Malley,Petr Yan
632,Beneil Dariush,Mateusz Gamrot
633,Manon Fiorot,Katlyn Cerminara
634,Belal Muhammad,Sean Brady
635,Caio Borralho,Makhmud Muradov
636,Nikita Krylov,Volkan Oezdemir
637,Abubakar Nurmagomedov,Gadzhi Omargadzhiev
638,Armen Petrosyan,AJ Dobson
639,Muhammad Mokaev,Malcolm Gordon
640,Karol Rosa,Lina Lansberg
641,Alexa Grasso,Viviane Araujo
642,Jonathan Martinez,Cub Swanson
643,Dusko Todorovic,Jordan Wright
644,Raphael Assuncao,Victor Henry
645,Alonzo Menifield,Misha Cirkunov
646,Mana Martinez,Brandon Davis
647,Jacob Malkoun,Nick Maximov
648,Joanderson Brito,Lucas Alexander
649,Piera Rodriguez,Sam Hughes
650,Tatsuro Taira,CJ Vergara
651,Pete Rodriguez,Mike Jackson
652,Yan Xiaonan,Mackenzie Dern
653,Randy Brown,Francisco Trinaldo
654,Raoni Barcelos,Trevin Jones
655,Sodiq Yusuff,Don Shainis
656,Mike Davis,Viacheslav Borshchev
657,Daniel Santos,John Castaneda
658,Ilir Latifi,Aleksei Oleinik
659,Joaquim Silva,Jesse Ronson
660,Brendan Allen,Krzysztof Jotko
661,Chelsea Chandler,Julija Stoliarenko
662,Guido Cannetti,Randy Costa
663,Cory Sandhagen,Song Yadong
664,Gregory Rodrigues,Chidi Njokuani
665,Andre Fili,Bill Algeo
666,Joe Pyfer,Alen Amedovski
667,Rodrigo Nascimento,Tanner Boser
668,Anthony Hernandez,Marc-Andre Barriault
669,Damon Jackson,Pat Sabatini
670,Trevin Giles,Louis Cosce
671,Loma Lookboonmee,Denise Gomes
672,Trey Ogden,Daniel Zellhuber
673,Gillian Robertson,Mariya Agapova
674,Javid Basharat,Tony Gravely
675,Nikolas Motta,Cameron VanCamp
676,Nate Diaz,Tony Ferguson
677,Khamzat Chimaev,Kevin Holland
678,Daniel Rodriguez,Li Jingliang
679,Irene Aldana,Macy Chiasson
680,Johnny Walker,Ion Cutelaba
681,Julian Erosa,Hakeem Dawodu
682,Jailton Almeida,Anton Turkalj
683,Denis Tiuliulin,Jamie Pickett
684,Chris Barnett,Jake Collier
685,Norma Dumont,Danyelle Wolf
686,Alatengheili,Chad Anheliger
687,Elise Reed,Melissa Martinez
