,Winners,Losers
6063,Phil Davis,Rodney Wallace
6064,Johny Hendricks,Charlie Brenneman
6065,Tim Boetsch,Todd Brown
6066,Stefan Struve,Christian Morecraft
6067,Dennis Hallman,Ben Saunders
6068,Jon Jones,Vladimir Matyushenko
6069,Yushin Okami,Mark Munoz
6070,Jake Ellenberger,John Howard
6071,Takanori Gomi,Tyson Griffin
6072,Jacob Volkmann,Paul Kelly
6073,Matthew Riddle,DaMarques Johnson
6074,Igor Pokrajac,James Irvin
6075,Brian Stann,Mike Massenzio
6076,Charles Oliveira,Darren Elkins
6077,Rob Kimmons,Steve Steinbeiss
6078,Brock Lesnar,Shane Carwin
6079,Chris Leben,Yoshihiro Akiyama
6080,Chris Lytle,Matt Brown
6081,Stephan Bonnar,Krzysztof Soszynski
6082,George Sotiropoulos,Kurt Pellegrino
6083,Brendan Schaub,Chris Tuchscherer
6084,Ricardo Romero,Seth Petruzelli
6085,Kendall Grove,Goran Reljic
6086,Gerald Harris,David Branch
6087,Daniel Roberts,Forrest Petz
6088,Jon Madsen,Karlos Vemola
6089,Court McGee,Kris McCray
6090,Matt Hamill,Keith Jardine
6091,Chris Leben,Aaron Simpson
6092,Dennis Siver,Spencer Fisher
6093,Rich Attonito,Jamie Yager
6094,John Gunderson,Mark Holst
6095,Brad Tavares,Seth Baczynski
6096,Kyle Noke,Josh Bryant
6097,Chris Camozzi,James Hammortree
6098,Travis Browne,James McSweeney
6099,Rich Franklin,Chuck Liddell
6100,Mirko Filipovic,Pat Barry
6101,Martin Kampmann,Paulo Thiago
6102,Ben Rothwell,Gilbert Yvel
6103,Carlos Condit,Rory MacDonald
6104,Evan Dunham,Tyson Griffin
6105,Matt Wiman,Mac Danzig
6106,Mario Miranda,David Loiseau
6107,James Wilks,Peter Sobotta
6108,Claude Patrick,Ricardo Funch
6109,Mike Pyle,Jesse Lennox
6110,Rashad Evans,Quinton Jackson
6111,Michael Bisping,Dan Miller
6112,Mike Russow,Todd Duffee
6113,Rogerio Nogueira,Jason Brilz
6114,John Hathaway,Diego Sanchez
6115,Dong Hyun Kim,Amir Sadollah
6116,Efrain Escudero,Dan Lauzon
6117,Melvin Guillard,Waylon Lowe
6118,Cyrille Diabate,Luiz Cane
6119,Aaron Riley,Joe Brammer
6120,Ryan Jensen,Jesse Forbes
6121,Mauricio Rua,Lyoto Machida
6122,Josh Koscheck,Paul Daley
6123,Jeremy Stephens,Sam Stout
6124,Matt Mitrione,Kevin Ferguson
6125,Alan Belcher,Patrick Cote
6126,Joe Doerksen,Tom Lawlor
6127,Marcus Davis,Jonathan Goulet
6128,Johny Hendricks,TJ Grant
6129,Joey Beltran,Tim Hague
6130,Mike Guymon,Yoshiyuki Yoshida
6131,John Salter,Jason MacDonald
6132,Anderson Silva,Demian Maia
6133,Frankie Edgar,BJ Penn
6134,Matt Hughes,Renzo Gracie
6135,Rafael Dos Anjos,Terry Etim
6136,Mark Munoz,Kendall Grove
6137,Phil Davis,Alexander Gustafsson
6138,Rick Story,Nick Osipczak
6139,DaMarques Johnson,Brad Blackburn
6140,Paul Kelly,Matt Veach
6141,Jon Madsen,Mostapha Al-Turk
6142,Kenny Florian,Takanori Gomi
6143,Roy Nelson,Stefan Struve
6144,Jorge Rivera,Nate Quarry
6145,Ross Pearson,Dennis Siver
6146,Andre Winner,Rafaello Oliveira
6147,Jacob Volkmann,Ronys Torres
6148,Nik Lentz,Rob Emerson
6149,Gleison Tibau,Caol Uno
6150,Yushin Okami,Lucio Linhares
6151,Gerald Harris,Mario Miranda
6152,Charlie Brenneman,Jason High
6153,Georges St-Pierre,Dan Hardy
6154,Shane Carwin,Frank Mir
6155,Kurt Pellegrino,Fabricio Camoes
6156,Jon Fitch,Ben Saunders
6157,Jim Miller,Mark Bocek
6158,Nate Diaz,Rory Markham
6159,Ricardo Almeida,Matt Brown
6160,Rousimar Palhares,Tomasz Drwal
6161,Jared Hamman,Rodney Wallace
6162,Matthew Riddle,Greg Soto
6163,Jon Jones,Brandon Vera
6164,Junior Dos Santos,Gabriel Gonzaga
6165,Cheick Kongo,Paul Buentello
6166,Alessio Sakara,James Irvin
6167,Clay Guida,Shannon Gugerty
6168,Vladimir Matyushenko,Eliot Marshall
6169,Darren Elkins,Duane Ludwig
6170,John Howard,Daniel Roberts
6171,Brendan Schaub,Chase Gormley
6172,Mike Pierce,Julio Paulino
6173,Jason Brilz,Eric Schafer
6174,Cain Velasquez,Antonio Rodrigo Nogueira
6175,Wanderlei Silva,Michael Bisping
6176,George Sotiropoulos,Joe Stevenson
6177,Ryan Bader,Keith Jardine
6178,Mirko Filipovic,Anthony Perosh
6179,Krzysztof Soszynski,Stephan Bonnar
6180,Chris Lytle,Brian Foster
6181,CB Dollaway,Goran Reljic
6182,James Te Huna,Igor Pokrajac
6183,Randy Couture,Mark Coleman
6184,Chael Sonnen,Nate Marquardt
6185,Paulo Thiago,Mike Swick
6186,Demian Maia,Dan Miller
6187,Matt Serra,Frank Trigg
6188,Mac Danzig,Justin Buchholz
6189,Melvin Guillard,Ronys Torres
6190,Rob Emerson,Phillipe Nover
6191,Phil Davis,Brian Stann
6192,Chris Tuchscherer,Tim Hague
6193,Joey Beltran,Rolles Gracie
6194,Gray Maynard,Nate Diaz
6195,Evan Dunham,Efrain Escudero
6196,Aaron Simpson,Tom Lawlor
6197,Amir Sadollah,Brad Blackburn
6198,Chris Leben,Jay Silva
6199,Rick Story,Jesse Lennox
6200,Thiago Tavares,Nik Lentz
6201,Rory MacDonald,Mike Guymon
6202,Rafael Dos Anjos,Kyle Bradley
6203,Gerald Harris,John Salter
6204,Nick Catone,Jesse Forbes
6205,Rashad Evans,Thiago Silva
6206,Paul Daley,Dustin Hazelett
6207,Sam Stout,Joe Lauzon
6208,Jim Miller,Duane Ludwig
6209,Junior Dos Santos,Gilbert Yvel
6210,Martin Kampmann,Jacob Volkmann
6211,Cole Miller,Dan Lauzon
6212,Mark Munoz,Ryan Jensen
6213,Jake Ellenberger,Mike Pyle
6214,Rafaello Oliveira,John Gunderson
6215,BJ Penn,Diego Sanchez
6216,Frank Mir,Cheick Kongo
6217,Jon Fitch,Mike Pierce
6218,Kenny Florian,Clay Guida
6219,Stefan Struve,Paul Buentello
6220,Alan Belcher,Wilson Gouveia
6221,Matt Wiman,Shane Nelson
6222,Johny Hendricks,Ricardo Funch
6223,Rousimar Palhares,Lucio Linhares
6224,DaMarques Johnson,Edgar Garcia
6225,TJ Grant,Kevin Burns
6226,Roy Nelson,Brendan Schaub
6227,Matt Hamill,Jon Jones
6228,Kevin Ferguson,Houston Alexander
6229,Frankie Edgar,Matt Veach
6230,Matt Mitrione,Marcus Jones
6231,James McSweeney,Darrill Schoonover
6232,Jon Madsen,Justin Wren
6233,Brian Stann,Rodney Wallace
6234,John Howard,Dennis Hallman
6235,Mark Bocek,Joe Brammer
6236,Forrest Griffin,Tito Ortiz
6237,Josh Koscheck,Anthony Johnson
6238,Paulo Thiago,Jacob Volkmann
6239,Rogerio Nogueira,Luiz Cane
6240,Amir Sadollah,Phil Baroni
6241,Ben Saunders,Marcus Davis
6242,Kendall Grove,Jake Rosholt
6243,Brian Foster,Brock Larson
6244,Caol Uno,Fabricio Camoes
6245,George Sotiropoulos,Jason Dent
6246,Randy Couture,Brandon Vera
6247,Dan Hardy,Mike Swick
6248,Michael Bisping,Denis Kang
6249,Matt Brown,James Wilks
6250,Ross Pearson,Aaron Riley
6251,John Hathaway,Paul Taylor
6252,Terry Etim,Shannon Gugerty
6253,Nick Osipczak,Matthew Riddle
6254,Dennis Siver,Paul Kelly
6255,Alexander Gustafsson,Jared Hamman
6256,Andre Winner,Rolando Delgado
6257,Lyoto Machida,Mauricio Rua
6258,Cain Velasquez,Ben Rothwell
6259,Gleison Tibau,Josh Neer
6260,Joe Stevenson,Spencer Fisher
6261,Anthony Johnson,Yoshiyuki Yoshida
6262,Ryan Bader,Eric Schafer
6263,Pat Barry,Antoni Hardonk
6264,Chael Sonnen,Yushin Okami
6265,Jorge Rivera,Rob Kimmons
6266,Kyle Kingsbury,Razak Al-Hassan
6267,Stefan Struve,Chase Gormley
6268,Vitor Belfort,Rich Franklin
6269,Junior Dos Santos,Mirko Filipovic
6270,Paul Daley,Martin Kampmann
6271,Josh Koscheck,Frank Trigg
6272,Tyson Griffin,Hermes Franca
6273,Efrain Escudero,Cole Miller
6274,Tomasz Drwal,Drew McFedries
6275,Jim Miller,Steve Lopez
6276,Nik Lentz,Rafaello Oliveira
6277,Rick Story,Brian Foster
6278,Eliot Marshall,Jason Brilz
6279,Vladimir Matyushenko,Igor Pokrajac
6280,Rafael Dos Anjos,Rob Emerson
6281,Nate Diaz,Melvin Guillard
6282,Gray Maynard,Roger Huerta
6283,Carlos Condit,Jake Ellenberger
6284,Nate Quarry,Tim Credeur
6285,Brian Stann,Steve Cantwell
6286,Mike Pyle,Chris Wilson
6287,CB Dollaway,Jay Silva
6288,Jeremy Stephens,Justin Buchholz
6289,Mike Pierce,Brock Larson
6290,Ryan Jensen,Steve Steinbeiss
6291,Antonio Rodrigo Nogueira,Randy Couture
6292,Thiago Silva,Keith Jardine
6293,Jake Rosholt,Chris Leben
6294,Nate Marquardt,Demian Maia
6295,Brandon Vera,Krzysztof Soszynski
6296,Aaron Simpson,Ed Herman
6297,Gabriel Gonzaga,Chris Tuchscherer
6298,Mike Russow,Justin McCully
6299,Todd Duffee,Tim Hague
6300,Mark Munoz,Nick Catone
6301,Evan Dunham,Marcus Aurelio
6302,BJ Penn,Kenny Florian
6303,Anderson Silva,Forrest Griffin
6304,Aaron Riley,Shane Nelson
6305,Johny Hendricks,Amir Sadollah
6306,Ricardo Almeida,Kendall Grove
6307,Kurt Pellegrino,Josh Neer
6308,John Howard,Tamdan McCrory
6309,Alessio Sakara,Thales Leites
6310,Matthew Riddle,Dan Cramer
6311,George Sotiropoulos,George Roop
6312,Jesse Lennox,Danillo Villefort
6313,Jon Fitch,Paulo Thiago
6314,Brock Lesnar,Frank Mir
6315,Georges St-Pierre,Thiago Alves
6316,Dan Henderson,Michael Bisping
6317,Yoshihiro Akiyama,Alan Belcher
6318,Mark Coleman,Stephan Bonnar
6319,Jim Miller,Mac Danzig
6320,Jon Jones,Jake O'Brien
6321,Dong Hyun Kim,TJ Grant
6322,Tom Lawlor,CB Dollaway
6323,Shannon Gugerty,Matt Grice
6324,Diego Sanchez,Clay Guida
6325,James Wilks,DaMarques Johnson
6326,Chris Lytle,Kevin Burns
6327,Ross Pearson,Andre Winner
6328,Joe Stevenson,Nate Diaz
6329,Melvin Guillard,Gleison Tibau
6330,Brad Blackburn,Edgar Garcia
6331,Tomasz Drwal,Mike Ciesnolevicz
6332,Nick Osipczak,Frank Lester
6333,Jason Dent,Cameron Dollar
6334,Rich Franklin,Wanderlei Silva
6335,Cain Velasquez,Cheick Kongo
6336,Mirko Filipovic,Mostapha Al-Turk
6337,Mike Swick,Ben Saunders
6338,Spencer Fisher,Caol Uno
6339,Dan Hardy,Marcus Davis
6340,Terry Etim,Justin Buchholz
6341,Dennis Siver,Dale Hartt
6342,Paul Taylor,Peter Sobotta
6343,Paul Kelly,Rolando Delgado
6344,Stefan Struve,Denis Stojnic
6345,John Hathaway,Rick Story
6346,Lyoto Machida,Rashad Evans
6347,Matt Hughes,Matt Serra
6348,Drew McFedries,Xavier Foupa-Pokam
6349,Chael Sonnen,Dan Miller
6350,Frankie Edgar,Sean Sherk
6351,Brock Larson,Mike Pyle
6352,Tim Hague,Pat Barry
6353,Kyle Bradley,Phillipe Nover
6354,Krzysztof Soszynski,Andre Gusmao
6355,Yoshiyuki Yoshida,Brandon Wolff
6356,George Roop,David Kaplan
6357,Anderson Silva,Thales Leites
6358,Sam Stout,Matt Wiman
6359,Mauricio Rua,Chuck Liddell
6360,Krzysztof Soszynski,Brian Stann
6361,Cheick Kongo,Antoni Hardonk
6362,Luiz Cane,Steve Cantwell
6363,Denis Kang,Xavier Foupa-Pokam
6364,Nate Quarry,Jason MacDonald
6365,Ed Herman,David Loiseau
6366,Mark Bocek,David Bielkheden
6367,TJ Grant,Ryo Chonan
6368,Eliot Marshall,Vinny Magalhaes
6369,Martin Kampmann,Carlos Condit
6370,Ryan Bader,Carmelo Marrero
6371,Tyson Griffin,Rafael Dos Anjos
6372,Cole Miller,Junie Browning
6373,Gleison Tibau,Jeremy Stephens
6374,Ricardo Almeida,Matt Horwich
6375,Brock Larson,Jesse Sanders
6376,Tim Credeur,Nick Catone
6377,Jorge Rivera,Nissen Osterneck
6378,Rob Kimmons,Joe Vedepo
6379,Aaron Simpson,Tim McKenzie
6380,Quinton Jackson,Keith Jardine
6381,Shane Carwin,Gabriel Gonzaga
6382,Matt Brown,Pete Sell
6383,Matt Hamill,Mark Munoz
6384,Gray Maynard,Jim Miller
6385,Tamdan McCrory,Ryan Madigan
6386,Kendall Grove,Jason Day
6387,Jason Brilz,Tim Boetsch
6388,Brandon Vera,Michael Patt
6389,Shane Nelson,Aaron Riley
6390,Diego Sanchez,Joe Stevenson
6391,Dan Hardy,Rory Markham
6392,Nate Marquardt,Wilson Gouveia
6393,Demian Maia,Chael Sonnen
6394,Paulo Thiago,Josh Koscheck
6395,Terry Etim,Brian Cobb
6396,Junior Dos Santos,Stefan Struve
6397,Evan Dunham,Per Eklund
6398,Mike Ciesnolevicz,Neil Grove
6399,Paul Kelly,Troy Mandaloniz
6400,Joe Lauzon,Jeremy Stephens
6401,Cain Velasquez,Denis Stojnic
6402,Josh Neer,Mac Danzig
6403,Anthony Johnson,Luigi Fioravanti
6404,Kurt Pellegrino,Rob Emerson
6405,Dan Miller,Jake Rosholt
6406,Matt Veach,Matt Grice
6407,Gleison Tibau,Rich Clementi
6408,Nick Catone,Derek Downey
6409,Matthew Riddle,Steve Bruno
6410,Georges St-Pierre,BJ Penn
6411,Lyoto Machida,Thiago Silva
6412,Jon Jones,Stephan Bonnar
6413,Karo Parisyan,Dong Hyun Kim
6414,Clay Guida,Nate Diaz
6415,Jon Fitch,Akihiro Gono
6416,Thiago Tavares,Manvel Gamburyan
6417,John Howard,Chris Wilson
6418,Jake O'Brien,Christian Wellisch
6419,Dan Cramer,Matt Arroyo
6420,Dan Henderson,Rich Franklin
6421,Mauricio Rua,Mark Coleman
6422,Rousimar Palhares,Jeremy Horn
6423,Alan Belcher,Denis Kang
6424,Marcus Davis,Chris Lytle
6425,John Hathaway,Tom Egan
6426,Martin Kampmann,Alexandre Barros
6427,Eric Schafer,Antonio Mendes
6428,Tomasz Drwal,Ivan Serati
6429,Dennis Siver,Nate Mohr
6430,Rashad Evans,Forrest Griffin
6431,Frank Mir,Antonio Rodrigo Nogueira
6432,CB Dollaway,Mike Massenzio
6433,Quinton Jackson,Wanderlei Silva
6434,Cheick Kongo,Mostapha Al-Turk
6435,Yushin Okami,Dean Lister
6436,Antoni Hardonk,Mike Wessel
6437,Matt Hamill,Reese Andy
6438,Brad Blackburn,Ryo Chonan
6439,Pat Barry,Dan Evensen
6440,Efrain Escudero,Phillipe Nover
6441,Ryan Bader,Vinny Magalhaes
6442,Anthony Johnson,Kevin Burns
6443,Wilson Gouveia,Jason MacDonald
6444,Junie Browning,David Kaplan
6445,Krzysztof Soszynski,Shane Primm
6446,Eliot Marshall,Jules Bruchez
6447,Tom Lawlor,Kyle Kingsbury
6448,Shane Nelson,George Roop
6449,Rolando Delgado,John Polakowski
6450,Josh Koscheck,Yoshiyuki Yoshida
6451,Mike Swick,Jonathan Goulet
6452,Steve Cantwell,Razak Al-Hassan
6453,Tim Credeur,Nate Loughran
6454,Jim Miller,Matt Wiman
6455,Luigi Fioravanti,Brodie Farber
6456,Steve Bruno,Johnny Rees
6457,Ben Saunders,Brandon Wolff
6458,Dale Hartt,Corey Hill
6459,Justin McCully,Eddie Sanchez
6460,Brock Lesnar,Randy Couture
6461,Kenny Florian,Joe Stevenson
6462,Dustin Hazelett,Tamdan McCrory
6463,Gabriel Gonzaga,Josh Hendricks
6464,Demian Maia,Nate Quarry
6465,Aaron Riley,Jorge Gurgel
6466,Jeremy Stephens,Rafael Dos Anjos
6467,Mark Bocek,Alvin Robinson
6468,Matt Brown,Ryan Thomas
6469,Anderson Silva,Patrick Cote
6470,Thiago Alves,Josh Koscheck
6471,Gray Maynard,Rich Clementi
6472,Junior Dos Santos,Fabricio Werdum
6473,Sean Sherk,Tyson Griffin
6474,Thales Leites,Drew McFedries
6475,Spencer Fisher,Shannon Gugerty
6476,Dan Miller,Matt Horwich
6477,Hermes Franca,Marcus Aurelio
6478,Pete Sell,Joshua Burkman
6479,Michael Bisping,Chris Leben
6480,Keith Jardine,Brandon Vera
6481,Luiz Cane,Rameau Thierry Sokoudjou
6482,Chris Lytle,Paul Taylor
6483,Marcus Davis,Paul Kelly
6484,Dan Hardy,Akihiro Gono
6485,Shane Carwin,Neil Wain
6486,David Bielkheden,Jess Liaudin
6487,Terry Etim,Sam Stout
6488,Jim Miller,David Baron
6489,Per Eklund,Samy Schiavo
6490,Nate Diaz,Josh Neer
6491,Clay Guida,Mac Danzig
6492,Alan Belcher,Ed Herman
6493,Eric Schafer,Houston Alexander
6494,Alessio Sakara,Joe Vedepo
6495,Wilson Gouveia,Ryan Jensen
6496,Joe Lauzon,Kyle Bradley
6497,Jason Brilz,Brad Morris
6498,Mike Massenzio,Drew McFedries
6499,Dan Miller,Rob Kimmons
6500,Rashad Evans,Chuck Liddell
6501,Rich Franklin,Matt Hamill
6502,Dan Henderson,Rousimar Palhares
6503,Nate Marquardt,Martin Kampmann
6504,Dong Hyun Kim,Matt Brown
6505,Kurt Pellegrino,Thiago Tavares
6506,Tim Boetsch,Michael Patt
6507,Jason MacDonald,Jason Lambert
6508,Ryo Chonan,Roan Carneiro
6509,Georges St-Pierre,Jon Fitch
6510,Brock Lesnar,Heath Herring
6511,Rob Emerson,Manvel Gamburyan
6512,Kenny Florian,Roger Huerta
6513,Demian Maia,Jason MacDonald
6514,Tamdan McCrory,Luke Cummo
6515,Cheick Kongo,Dan Evensen
6516,Jon Jones,Andre Gusmao
6517,Chris Wilson,Steve Bruno
6518,Ben Saunders,Ryan Thomas
6519,Anderson Silva,James Irvin
6520,Brandon Vera,Reese Andy
6521,Frankie Edgar,Hermes Franca
6522,Cain Velasquez,Jake O'Brien
6523,Kevin Burns,Anthony Johnson
6524,CB Dollaway,Jesse Taylor
6525,Tim Credeur,Cale Yarbrough
6526,Rory Markham,Brodie Farber
6527,Nate Loughran,Johnny Rees
6528,Brad Blackburn,James Giboo
6529,Shannon Gugerty,Dale Hartt
6530,Forrest Griffin,Quinton Jackson
6531,Patrick Cote,Ricardo Almeida
6532,Joe Stevenson,Gleison Tibau
6533,Josh Koscheck,Chris Lytle
6534,Tyson Griffin,Marcus Aurelio
6535,Gabriel Gonzaga,Justin McCully
6536,Cole Miller,Jorge Gurgel
6537,Melvin Guillard,Dennis Siver
6538,Justin Buchholz,Corey Hill
6539,Kendall Grove,Evan Tanner
6540,Amir Sadollah,CB Dollaway
6541,Diego Sanchez,Luigi Fioravanti
6542,Spencer Fisher,Jeremy Stephens
6543,Matthew Riddle,Dante Rivera
6544,Dustin Hazelett,Joshua Burkman
6545,Drew McFedries,Marvin Eastman
6546,Matt Brown,Matt Arroyo
6547,Dean Lister,Jeremy Horn
6548,Rob Kimmons,Rob Yundt
6549,Thiago Alves,Matt Hughes
6550,Michael Bisping,Jason Day
6551,Mike Swick,Marcus Davis
6552,Thales Leites,Nate Marquardt
6553,Fabricio Werdum,Brandon Vera
6554,Martin Kampmann,Jorge Rivera
6555,Matt Wiman,Thiago Tavares
6556,Kevin Burns,Roan Carneiro
6557,Luiz Cane,Jason Lambert
6558,Paul Taylor,Jess Liaudin
6559,Antoni Hardonk,Eddie Sanchez
6560,BJ Penn,Sean Sherk
6561,Wanderlei Silva,Keith Jardine
6562,Goran Reljic,Wilson Gouveia
6563,Lyoto Machida,Tito Ortiz
6564,Thiago Silva,Antonio Mendes
6565,Rousimar Palhares,Ivan Salaverry
6566,Rameau Thierry Sokoudjou,Kazuhiro Nakamura
6567,Rich Clementi,Terry Etim
6568,Yoshiyuki Yoshida,War Machine
6569,Dong Hyun Kim,Jason Tan
6570,Shane Carwin,Christian Wellisch
6571,Georges St-Pierre,Matt Serra
6572,Rich Franklin,Travis Lutter
6573,Nate Quarry,Kalib Starnes
6574,Michael Bisping,Charles McCarthy
6575,Mac Danzig,Mark Bocek
6576,Jason MacDonald,Joe Doerksen
6577,Jason Day,Alan Belcher
6578,Demian Maia,Ed Herman
6579,Rich Clementi,Sam Stout
6580,Cain Velasquez,Brad Morris
6581,Jonathan Goulet,Kuniyoshi Hironaka
6582,Kenny Florian,Joe Lauzon
6583,Gray Maynard,Frankie Edgar
6584,Thiago Alves,Karo Parisyan
6585,Matt Hamill,Tim Boetsch
6586,Nate Diaz,Kurt Pellegrino
6587,James Irvin,Houston Alexander
6588,Josh Neer,Din Thomas
6589,Marcus Aurelio,Ryan Roberts
6590,Manvel Gamburyan,Jeff Cox
6591,Clay Guida,Samy Schiavo
6592,George Sotiropoulos,Roman Mitichyan
6593,Anthony Johnson,Tommy Speer
6594,Anderson Silva,Dan Henderson
6595,Heath Herring,Cheick Kongo
6596,Chris Leben,Alessio Sakara
6597,Yushin Okami,Evan Tanner
6598,Jon Fitch,Chris Wilson
6599,Andrei Arlovski,Jake O'Brien
6600,Luigi Fioravanti,Luke Cummo
6601,Josh Koscheck,Dustin Hazelett
6602,Diego Sanchez,David Bielkheden
6603,Jorge Gurgel,John Halverson
6604,Antonio Rodrigo Nogueira,Tim Sylvia
6605,Frank Mir,Brock Lesnar
6606,Nate Marquardt,Jeremy Horn
6607,Ricardo Almeida,Rob Yundt
6608,Tyson Griffin,Gleison Tibau
6609,Chris Lytle,Kyle Bradley
6610,Tim Boetsch,David Heath
6611,Marvin Eastman,Terry Martin
6612,Rob Emerson,Keita Nakamura
6613,Mike Swick,Joshua Burkman
6614,Patrick Cote,Drew McFedries
6615,Thiago Tavares,Michihiro Omigawa
6616,Nate Diaz,Alvin Robinson
6617,Kurt Pellegrino,Alberto Crane
6618,Gray Maynard,Dennis Siver
6619,Jeremy Stephens,Cole Miller
6620,Corey Hill,Joe Veres
6621,Matt Wiman,Justin Buchholz
6622,BJ Penn,Joe Stevenson
6623,Fabricio Werdum,Gabriel Gonzaga
6624,Marcus Davis,Jess Liaudin
6625,Wilson Gouveia,Jason Lambert
6626,Jorge Rivera,Kendall Grove
6627,Antoni Hardonk,Colin Robinson
6628,Paul Kelly,Paul Taylor
6629,Alessio Sakara,James Lee
6630,Sam Stout,Per Eklund
6631,Georges St-Pierre,Matt Hughes
6632,Chuck Liddell,Wanderlei Silva
6633,Eddie Sanchez,Soa Palelei
6634,Lyoto Machida,Rameau Thierry Sokoudjou
6635,Rich Clementi,Melvin Guillard
6636,James Irvin,Luiz Cane
6637,Manvel Gamburyan,Nate Mohr
6638,Dean Lister,Jordan Radev
6639,Roan Carneiro,Tony DeSouza
6640,Mark Bocek,Doug Evans
6641,Roger Huerta,Clay Guida
6642,Mac Danzig,Tommy Speer
6643,War Machine,Jared Rollins
6644,George Sotiropoulos,Billy Miles
6645,Ben Saunders,Dan Barrera
6646,Troy Mandaloniz,Richie Hightower
6647,Matt Arroyo,John Kolosci
6648,Roman Mitichyan,Dorian Price
6649,Jonathan Goulet,Paul Georgieff
6650,Rashad Evans,Michael Bisping
6651,Thiago Silva,Houston Alexander
6652,Karo Parisyan,Ryo Chonan
6653,Ed Herman,Joe Doerksen
6654,Frankie Edgar,Spencer Fisher
6655,Thiago Alves,Chris Lytle
6656,Joe Lauzon,Jason Reinhardt
6657,Marcus Aurelio,Luke Caudillo
6658,Akihiro Gono,Tamdan McCrory
6659,Anderson Silva,Rich Franklin
6660,Tim Sylvia,Brandon Vera
6661,Alvin Robinson,Jorge Gurgel
6662,Stephan Bonnar,Eric Schafer
6663,Alan Belcher,Kalib Starnes
6664,Yushin Okami,Jason MacDonald
6665,Demian Maia,Ryan Jensen
6666,Joshua Burkman,Forrest Petz
6667,Matt Grice,Jason Black
6668,Keith Jardine,Chuck Liddell
6669,Forrest Griffin,Mauricio Rua
6670,Jon Fitch,Diego Sanchez
6671,Lyoto Machida,Kazuhiro Nakamura
6672,Tyson Griffin,Thiago Tavares
6673,Rich Clementi,Anthony Johnson
6674,Jeremy Stephens,Diego Saraiva
6675,Christian Wellisch,Scott Junk
6676,Matt Wiman,Michihiro Omigawa
6677,Kenny Florian,Din Thomas
6678,Chris Leben,Terry Martin
6679,Nate Diaz,Junior Assuncao
6680,Nate Quarry,Pete Sell
6681,Luke Cummo,Edilberto de Oliveira
6682,Cole Miller,Leonard Garcia
6683,Gray Maynard,Joe Veres
6684,Thiago Alves,Kuniyoshi Hironaka
6685,Dustin Hazelett,Jonathan Goulet
6686,Quinton Jackson,Dan Henderson
6687,Michael Bisping,Matt Hamill
6688,Cheick Kongo,Mirko Filipovic
6689,Marcus Davis,Paul Taylor
6690,Houston Alexander,Alessio Sakara
6691,Gleison Tibau,Terry Etim
6692,Thiago Silva,Tomasz Drwal
6693,Dennis Siver,Naoyuki Kotani
6694,Jess Liaudin,Anthony Torres
6695,Randy Couture,Gabriel Gonzaga
6696,Georges St-Pierre,Josh Koscheck
6697,Roger Huerta,Alberto Crane
6698,Joe Stevenson,Kurt Pellegrino
6699,Patrick Cote,Kendall Grove
6700,Renato Sobral,David Heath
6701,Frank Mir,Antoni Hardonk
6702,Thales Leites,Ryan Jensen
6703,Clay Guida,Marcus Aurelio
6704,Kenny Florian,Alvin Robinson
6705,Anderson Silva,Nate Marquardt
6706,Rashad Evans,Tito Ortiz
6707,Sean Sherk,Hermes Franca
6708,Antonio Rodrigo Nogueira,Heath Herring
6709,Stephan Bonnar,Mike Nickels
6710,Jorge Gurgel,Diego Saraiva
6711,Chris Lytle,Jason Gilliam
6712,Frankie Edgar,Mark Bocek
6713,BJ Penn,Jens Pulver
6714,Nate Diaz,Manvel Gamburyan
6715,Thales Leites,Floyd Sword
6716,Roger Huerta,Doug Evans
6717,Joe Lauzon,Brandon Melendez
6718,Cole Miller,Andy Wang
6719,Gray Maynard,Rob Emerson
6720,Leonard Garcia,Allen Berube
6721,Matt Wiman,Brian Geraghty
6722,Rich Franklin,Yushin Okami
6723,Forrest Griffin,Hector Ramirez
6724,Jason MacDonald,Rory Singer
6725,Tyson Griffin,Clay Guida
6726,Ed Herman,Scott Smith
6727,Marcus Davis,Jason Tan
6728,Eddie Sanchez,Colin Robinson
6729,Dustin Hazelett,Stevie Lynch
6730,Spencer Fisher,Sam Stout
6731,Jon Fitch,Roan Carneiro
6732,Drew McFedries,Jordan Radev
6733,Thiago Tavares,Jason Black
6734,Forrest Petz,Luigi Fioravanti
6735,Tamdan McCrory,Pete Spratt
6736,Gleison Tibau,Jeff Cox
6737,Anthony Johnson,Chad Reiner
6738,Nate Mohr,Luke Caudillo
6739,Quinton Jackson,Chuck Liddell
6740,Karo Parisyan,Joshua Burkman
6741,Terry Martin,Ivan Salaverry
6742,Houston Alexander,Keith Jardine
6743,Kalib Starnes,Chris Leben
6744,Thiago Silva,James Irvin
6745,Alan Belcher,Sean Salmon
6746,Din Thomas,Jeremy Stephens
6747,Wilson Gouveia,Carmelo Marrero
6748,Gabriel Gonzaga,Mirko Filipovic
6749,Andrei Arlovski,Fabricio Werdum
6750,Michael Bisping,Elvis Sinosic
6751,Lyoto Machida,David Heath
6752,Cheick Kongo,Assuerio Silva
6753,Terry Etim,Matt Grice
6754,Junior Assuncao,David Lee
6755,Alessio Sakara,Victor Valimaki
6756,Jess Liaudin,Dennis Siver
6757,Paul Taylor,Edilberto de Oliveira
6758,Matt Serra,Georges St-Pierre
6759,Josh Koscheck,Diego Sanchez
